,coin_id,timestamp,price
401,ethereum,1740960000000,2517.3382391622977
402,ethereum,1741046400000,2148.199533470228
403,ethereum,1741132800000,2171.496943535016
404,ethereum,1741219200000,2241.3841149187283
405,ethereum,1741305600000,2202.3207363495417
406,ethereum,1741392000000,2140.7498089428914
407,ethereum,1741478400000,2199.9995000805707
408,ethereum,1741564800000,2017.265460184326
409,ethereum,1741651200000,1879.1231054991026
410,ethereum,1741737600000,1921.3099227587034
411,ethereum,1741824000000,1910.6551381032464
412,ethereum,1741910400000,1862.7949366490388
413,ethereum,1741996800000,1910.6662703455045
414,ethereum,1742083200000,1939.7856881721348
415,ethereum,1742169600000,1887.7643429692785
416,ethereum,1742256000000,1929.1833577618722
417,ethereum,1742342400000,1932.7964059050657
418,ethereum,1742428800000,2060.728601068271
419,ethereum,1742515200000,1980.831780524645
420,ethereum,1742601600000,1964.5293833168294
421,ethereum,1742688000000,1979.5449257665966
422,ethereum,1742774400000,2001.0470230951883
423,ethereum,1742860800000,2077.739325831977
424,ethereum,1742947200000,2068.598435049149
425,ethereum,1743033600000,2009.8835432902426
426,ethereum,1743120000000,2003.3034241292064
427,ethereum,1743206400000,1896.9173600459985
428,ethereum,1743292800000,1829.2745211803463
429,ethereum,1743379200000,1805.3378779435934
430,ethereum,1743465600000,1824.2071367609847
431,ethereum,1743552000000,1907.1671522994227
432,ethereum,1743638400000,1795.761850567479
433,ethereum,1743724800000,1818.2844199542053
434,ethereum,1743811200000,1814.4807753449506
435,ethereum,1743897600000,1809.935827172196
436,ethereum,1743984000000,1574.6321611455576
437,ethereum,1744070400000,1555.909812570873
438,ethereum,1744156800000,1471.3608854365523
439,ethereum,1744243200000,1662.5331604641576
440,ethereum,1744329600000,1523.928624242526
441,ethereum,1744416000000,1568.131690125936
442,ethereum,1744502400000,1645.8625733156498
443,ethereum,1744588800000,1595.4227460001084
444,ethereum,1744675200000,1621.543195596693
445,ethereum,1744761600000,1587.8222244021401
446,ethereum,1744848000000,1577.7073516760117
447,ethereum,1744934400000,1583.4764497002345
448,ethereum,1745020800000,1589.1516208270755
449,ethereum,1745107200000,1615.0502549158562
450,ethereum,1745193600000,1585.4600253443446
451,ethereum,1745280000000,1577.4465595922347
452,ethereum,1745366400000,1759.7064599311093
453,ethereum,1745452800000,1793.969849485534
454,ethereum,1745539200000,1769.3925107354407
455,ethereum,1745625600000,1788.7981804331257
456,ethereum,1745712000000,1821.2695303291391
457,ethereum,1745798400000,1793.6918440730135
458,ethereum,1745884800000,1799.50191449199
459,ethereum,1745971200000,1796.9720456768928
460,ethereum,1746057600000,1794.0495408617828
461,ethereum,1746144000000,1838.8543285925753
462,ethereum,1746230400000,1841.427590836958
463,ethereum,1746316800000,1834.501911876416
464,ethereum,1746403200000,1808.156093844096
465,ethereum,1746489600000,1820.0044598893596
466,ethereum,1746576000000,1816.1686943818438
467,ethereum,1746662400000,1810.3169269284476
468,ethereum,1746748800000,2197.5611893238784
469,ethereum,1746835200000,2341.407963002621
470,ethereum,1746921600000,2583.6829051429513
471,ethereum,1747008000000,2507.4693107597423
472,ethereum,1747094400000,2492.426391077375
473,ethereum,1747180800000,2676.639163127913
474,ethereum,1747267200000,2603.7180887199615
475,ethereum,1747353600000,2542.296692466797
476,ethereum,1747440000000,2544.3870377235667
477,ethereum,1747526400000,2475.0543933696913
478,ethereum,1747612800000,2465.3409856139087
479,ethereum,1747699200000,2526.989643891319
480,ethereum,1747785600000,2524.2743433146065
481,ethereum,1747872000000,2558.9502343769486
482,ethereum,1747958400000,2657.1674447566115
483,ethereum,1748044800000,2519.813809045145
484,ethereum,1748131200000,2529.4429842284353
485,ethereum,1748217600000,2546.6201163370915
486,ethereum,1748304000000,2562.1729286392238
487,ethereum,1748390400000,2662.0940568241435
488,ethereum,1748476800000,2676.2674124507
489,ethereum,1748563200000,2633.1392065286695
490,ethereum,1748649600000,2524.4762348050726
491,ethereum,1748736000000,2532.3627853090866
492,ethereum,1748822400000,2538.3300584367485
493,ethereum,1748908800000,2609.737253959435
494,ethereum,1748995200000,2595.4689570062997
495,ethereum,1749081600000,2610.343189828259
496,ethereum,1749168000000,2421.601103763502
497,ethereum,1749254400000,2481.4039836690267
498,ethereum,1749340800000,2526.291995889778
499,ethereum,1749427200000,2508.784123584585
500,ethereum,1749513600000,2685.0001850413178
501,ethereum,1749600000000,2808.503208314919
502,ethereum,1749686400000,2776.1371915822333
503,ethereum,1749772800000,2653.158968452672
504,ethereum,1749859200000,2577.04861752583
505,ethereum,1749945600000,2534.0702195359518
506,ethereum,1750032000000,2547.8456040920437
507,ethereum,1750118400000,2561.329843569428
508,ethereum,1750204800000,2514.986700576147
509,ethereum,1750291200000,2521.3334233964915
510,ethereum,1750377600000,2522.1791903642184
511,ethereum,1750464000000,2405.695434213183
512,ethereum,1750550400000,2270.581996055585
513,ethereum,1750636800000,2227.4287266371684
514,ethereum,1750723200000,2423.899644268608
515,ethereum,1750809600000,2446.539301545049
516,ethereum,1750896000000,2417.2267855277296
517,ethereum,1750982400000,2415.031864876594
518,ethereum,1751068800000,2423.0302896731746
519,ethereum,1751155200000,2437.133001780241
520,ethereum,1751241600000,2502.6672721177083
521,ethereum,1751328000000,2488.190781689803
522,ethereum,1751414400000,2405.1045592800183
523,ethereum,1751500800000,2574.067718495133
524,ethereum,1751587200000,2590.132231590221
525,ethereum,1751673600000,2509.236345783362
526,ethereum,1751760000000,2517.37917835065
527,ethereum,1751846400000,2571.358192115984
528,ethereum,1751932800000,2543.6317028067488
529,ethereum,1752019200000,2615.7759888945047
530,ethereum,1752105600000,2772.5795626609174
531,ethereum,1752192000000,2948.4462027029053
532,ethereum,1752278400000,2958.8514450990992
533,ethereum,1752364800000,2942.9616055388096
534,ethereum,1752451200000,2974.2654952333387
535,ethereum,1752537600000,3012.1797069059276
536,ethereum,1752624000000,3133.069857747011
537,ethereum,1752710400000,3368.126521526108
538,ethereum,1752796800000,3481.8828152374017
539,ethereum,1752883200000,3547.317079001209
540,ethereum,1752969600000,3594.3185010809702
541,ethereum,1753056000000,3758.605581813957
542,ethereum,1753142400000,3765.453624023574
543,ethereum,1753228800000,3746.9406687316323
544,ethereum,1753315200000,3630.053531480921
545,ethereum,1753401600000,3708.4299352383423
