,date,price_usd
214,2020-08-03,40.83
215,2020-08-04,41.67
216,2020-08-05,42.25
217,2020-08-06,41.93
218,2020-08-07,41.16
219,2020-08-08,41.16
220,2020-08-09,41.16
221,2020-08-10,41.94
222,2020-08-11,41.53
223,2020-08-12,42.6
224,2020-08-13,42.26
225,2020-08-14,42.05
226,2020-08-15,42.05
227,2020-08-16,42.05
228,2020-08-17,42.89
229,2020-08-18,42.89
230,2020-08-19,42.91
231,2020-08-20,42.62
232,2020-08-21,42.32
233,2020-08-22,42.32
234,2020-08-23,42.32
235,2020-08-24,42.44
236,2020-08-25,43.17
237,2020-08-26,43.21
238,2020-08-27,42.88
239,2020-08-28,42.96
240,2020-08-29,42.96
241,2020-08-30,42.96
242,2020-08-31,42.61
243,2020-09-01,42.76
244,2020-09-02,42.76
245,2020-09-03,41.39
246,2020-09-04,39.69
247,2020-09-05,39.69
248,2020-09-06,39.69
249,2020-09-07,39.69
250,2020-09-08,36.87
251,2020-09-09,38.05
252,2020-09-10,37.25
253,2020-09-11,37.33
254,2020-09-12,37.33
255,2020-09-13,37.33
256,2020-09-14,37.23
257,2020-09-15,38.29
258,2020-09-16,40.17
259,2020-09-17,40.99
260,2020-09-18,41.09
261,2020-09-19,41.09
262,2020-09-20,41.09
263,2020-09-21,39.26
264,2020-09-22,39.55
265,2020-09-23,39.92
266,2020-09-24,40.11
267,2020-09-25,40.06
268,2020-09-26,40.06
269,2020-09-27,40.06
270,2020-09-28,40.47
271,2020-09-29,39.03
272,2020-09-30,40.05
273,2020-10-01,38.51
274,2020-10-02,36.9
275,2020-10-03,36.9
276,2020-10-04,36.9
277,2020-10-05,39.12
278,2020-10-06,40.52
279,2020-10-07,39.82
280,2020-10-08,41.04
281,2020-10-09,40.44
282,2020-10-10,40.44
283,2020-10-11,40.44
284,2020-10-12,39.22
285,2020-10-13,40.03
286,2020-10-14,40.86
287,2020-10-15,40.84
288,2020-10-16,40.7
289,2020-10-17,40.7
290,2020-10-18,40.7
291,2020-10-19,40.69
292,2020-10-20,41.37
293,2020-10-21,39.88
294,2020-10-22,40.46
295,2020-10-23,39.73
296,2020-10-24,39.73
297,2020-10-25,39.73
298,2020-10-26,38.39
299,2020-10-27,39.34
300,2020-10-28,37.27
301,2020-10-29,35.94
302,2020-10-30,35.64
303,2020-10-31,35.64
304,2020-11-01,35.64
305,2020-11-02,36.6
306,2020-11-03,37.44
307,2020-11-04,38.97
308,2020-11-05,38.56
309,2020-11-06,36.97
