,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
256,Chad,TCD,1993,89.0,11.0,False,True,True
257,Chad,TCD,2000,74.0,26.0,False,True,True
258,Chad,TCD,2004,72.0,28.0,False,True,True
259,Chad,TCD,2016,78.0,22.0,False,True,True
260,Chad,TCD,2019,69.37208,30.62792,False,True,True
268,Chile,CHL,1992,6.0,94.0,False,False,False
269,Chile,CHL,2002,4.0,96.0,False,False,False
270,Chile,CHL,2011,3.0,97.0,False,False,False
271,Chile,CHL,2013,4.0,96.0,False,False,False
272,Chile,CHL,2015,3.0,97.0,False,False,False
273,Chile,CHL,2017,4.0,96.0,False,False,False
276,China,CHN,1990,22.0,78.0,False,False,False
277,China,CHN,2000,9.0,91.0,False,False,False
278,China,CHN,2010,5.0,95.0,False,False,False
279,China,CHN,2020,3.0,97.0,False,False,False
285,Colombia,COL,1993,9.0,91.0,False,False,False
286,Colombia,COL,1996,9.0,91.0,False,False,False
287,Colombia,COL,2004,7.0,93.0,False,False,False
288,Colombia,COL,2005,7.0,93.0,False,False,False
289,Colombia,COL,2006,8.0,92.0,False,False,False
290,Colombia,COL,2007,7.0,93.0,False,False,False
291,Colombia,COL,2008,7.0,93.0,False,False,False
292,Colombia,COL,2009,7.0,93.0,False,False,False
293,Colombia,COL,2010,7.0,93.0,False,False,False
294,Colombia,COL,2011,6.0,94.0,False,False,False
295,Colombia,COL,2014,6.0,94.0,False,False,False
296,Colombia,COL,2015,6.0,94.0,False,False,False
297,Colombia,COL,2016,5.0,95.0,False,False,False
298,Colombia,COL,2018,5.0,95.0,False,False,False
299,Colombia,COL,2019,5.0,95.0,False,False,False
300,Colombia,COL,2020,4.0,96.0,False,False,False
303,Comoros,COM,2000,32.0,68.0,False,False,False
305,Congo,COG,2005,24.0,76.0,False,False,False
309,Costa Rica,CRI,2000,5.0,95.0,False,False,False
310,Costa Rica,CRI,2011,3.0,97.0,False,False,False
312,Cote d'Ivoire,CIV,1998,64.0,36.0,False,True,True
313,Cote d'Ivoire,CIV,2000,51.0,49.0,False,False,False
314,Cote d'Ivoire,CIV,2014,56.0,44.0,False,False,False
315,Cote d'Ivoire,CIV,2016,49.96032,50.03968,False,False,False
316,Cote d'Ivoire,CIV,2021,49.99936,50.00064,False,False,False
317,Croatia,HRV,1991,3.0,97.0,False,False,False
318,Croatia,HRV,2001,2.0,98.0,False,False,False
326,Cuba,CUB,2002,0.0,100.0,False,False,False
327,Cuba,CUB,2012,0.0,100.0,False,False,False
328,Cuba,CUB,2019,2.3450928,97.65491,False,False,False
330,Cyprus,CYP,1992,6.0,94.0,False,False,False
331,Cyprus,CYP,2001,3.0,97.0,False,False,False
332,Cyprus,CYP,2011,1.0,99.0,False,False,False
335,Democratic Republic of Congo,COD,2001,33.0,67.0,False,False,False
336,Democratic Republic of Congo,COD,2012,25.0,75.0,False,False,False
337,Democratic Republic of Congo,COD,2016,23.0,77.0,False,False,False
338,Democratic Republic of Congo,COD,2018,26.446968,73.55303,False,False,False
343,Dominican Republic,DOM,2002,13.0,87.0,False,False,False
344,Dominican Republic,DOM,2007,12.0,88.0,False,False,False
345,Dominican Republic,DOM,2010,10.0,90.0,False,False,False
346,Dominican Republic,DOM,2011,10.0,90.0,False,False,False
347,Dominican Republic,DOM,2012,10.0,90.0,False,False,False
348,Dominican Republic,DOM,2013,9.0,91.0,False,False,False
349,Dominican Republic,DOM,2014,8.0,92.0,False,False,False
350,Dominican Republic,DOM,2015,8.0,92.0,False,False,False
351,Dominican Republic,DOM,2016,6.0,94.0,False,False,False
401,East Timor,TLS,2001,62.0,38.0,False,False,False
402,East Timor,TLS,2007,49.0,51.0,False,False,False
403,East Timor,TLS,2010,42.0,58.0,False,False,False
404,East Timor,TLS,2016,34.22087,65.77913,False,False,False
455,Ecuador,ECU,1990,12.0,88.0,False,False,False
