Price,Date,Close,High,Low,Open,Volume
Ticker,,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
0,2020-01-02,3257.85009765625,3258.139892578125,3235.530029296875,3244.669921875,3459930000
1,2020-01-03,3234.85009765625,3246.14990234375,3222.340087890625,3226.360107421875,3484700000
2,2020-01-06,3246.280029296875,3246.840087890625,3214.639892578125,3217.550048828125,3702460000
3,2020-01-07,3237.179931640625,3244.909912109375,3232.429931640625,3241.860107421875,3435910000
4,2020-01-08,3253.050048828125,3267.070068359375,3236.669921875,3238.590087890625,3726840000
5,2020-01-09,3274.699951171875,3275.580078125,3263.669921875,3266.030029296875,3641230000
6,2020-01-10,3265.35009765625,3282.989990234375,3260.860107421875,3281.81005859375,3214580000
7,2020-01-13,3288.1298828125,3288.1298828125,3268.429931640625,3271.1298828125,3459390000
8,2020-01-14,3283.14990234375,3294.25,3277.18994140625,3285.35009765625,3687620000
9,2020-01-15,3289.2900390625,3298.659912109375,3280.68994140625,3282.27001953125,3721490000
10,2020-01-16,3316.81005859375,3317.110107421875,3302.820068359375,3302.969970703125,3540580000
11,2020-01-17,3329.6201171875,3329.8798828125,3318.860107421875,3323.659912109375,3726220000
12,2020-01-21,3320.7900390625,3329.7900390625,3316.610107421875,3321.030029296875,4104840000
13,2020-01-22,3321.75,3337.77001953125,3320.0400390625,3330.02001953125,3623780000
14,2020-01-23,3325.5400390625,3326.8798828125,3301.8701171875,3315.77001953125,3766710000
15,2020-01-24,3295.469970703125,3333.179931640625,3281.530029296875,3333.10009765625,3708780000
16,2020-01-27,3243.6298828125,3258.85009765625,3234.5,3247.159912109375,3831050000
17,2020-01-28,3276.239990234375,3285.780029296875,3253.219970703125,3255.35009765625,3531570000
18,2020-01-29,3273.39990234375,3293.469970703125,3271.889892578125,3289.4599609375,3600250000
19,2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000
20,2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000
21,2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000
22,2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000
23,2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000
24,2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000
25,2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000
26,2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000
27,2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000
28,2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000
29,2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000
30,2020-02-14,3380.159912109375,3380.68994140625,3366.14990234375,3378.080078125,3419700000
31,2020-02-18,3370.2900390625,3375.010009765625,3355.610107421875,3369.0400390625,3750400000
32,2020-02-19,3386.14990234375,3393.52001953125,3378.830078125,3380.389892578125,3614200000
33,2020-02-20,3373.22998046875,3389.14990234375,3341.02001953125,3380.449951171875,4019180000
34,2020-02-21,3337.75,3360.760009765625,3328.449951171875,3360.5,3908780000
35,2020-02-24,3225.889892578125,3259.81005859375,3214.64990234375,3257.610107421875,4851160000
36,2020-02-25,3128.2099609375,3246.989990234375,3118.77001953125,3238.93994140625,5596760000
37,2020-02-26,3116.389892578125,3182.510009765625,3108.989990234375,3139.89990234375,5484650000
38,2020-02-27,2978.760009765625,3097.070068359375,2977.389892578125,3062.5400390625,7064710000
39,2020-02-28,2954.219970703125,2959.719970703125,2855.840087890625,2916.89990234375,8569570000
40,2020-03-02,3090.22998046875,3090.9599609375,2945.18994140625,2974.280029296875,6381330000
41,2020-03-03,3003.3701171875,3136.719970703125,2976.6298828125,3096.4599609375,6376510000
42,2020-03-04,3130.1201171875,3130.969970703125,3034.3798828125,3045.75,5073020000
43,2020-03-05,3023.93994140625,3083.0400390625,2999.830078125,3075.699951171875,5579290000
44,2020-03-06,2972.3701171875,2985.929931640625,2901.5400390625,2954.199951171875,6555240000
45,2020-03-09,2746.56005859375,2863.889892578125,2734.429931640625,2863.889892578125,8441290000
46,2020-03-10,2882.22998046875,2882.590087890625,2734.0,2813.47998046875,7642040000
47,2020-03-11,2741.3798828125,2825.60009765625,2707.219970703125,2825.60009765625,7431200000
48,2020-03-12,2480.639892578125,2660.949951171875,2478.860107421875,2630.860107421875,8850810000
49,2020-03-13,2711.02001953125,2711.330078125,2492.3701171875,2569.989990234375,8299070000
50,2020-03-16,2386.1298828125,2562.97998046875,2380.93994140625,2508.590087890625,7805450000
51,2020-03-17,2529.18994140625,2553.929931640625,2367.0400390625,2425.659912109375,8370250000
52,2020-03-18,2398.10009765625,2453.570068359375,2280.52001953125,2436.5,8799300000
53,2020-03-19,2409.389892578125,2466.969970703125,2319.780029296875,2393.47998046875,7956100000
54,2020-03-20,2304.919921875,2453.010009765625,2295.56005859375,2431.93994140625,9053950000
55,2020-03-23,2237.39990234375,2300.72998046875,2191.860107421875,2290.7099609375,7411380000
56,2020-03-24,2447.330078125,2449.7099609375,2344.43994140625,2344.43994140625,7563150000
57,2020-03-25,2475.56005859375,2571.419921875,2407.530029296875,2457.77001953125,8300010000
58,2020-03-26,2630.070068359375,2637.010009765625,2500.719970703125,2501.2900390625,7766990000
59,2020-03-27,2541.469970703125,2615.909912109375,2520.02001953125,2555.8701171875,6201670000
60,2020-03-30,2626.64990234375,2631.800048828125,2545.280029296875,2558.97998046875,5751120000
61,2020-03-31,2584.590087890625,2641.389892578125,2571.14990234375,2614.68994140625,6576210000
62,2020-04-01,2470.5,2522.75,2447.489990234375,2498.080078125,5964000000
63,2020-04-02,2526.89990234375,2533.219970703125,2455.7900390625,2458.5400390625,6464190000
64,2020-04-03,2488.64990234375,2538.179931640625,2459.9599609375,2514.919921875,6096970000
65,2020-04-06,2663.679931640625,2676.85009765625,2574.570068359375,2578.280029296875,6403840000
66,2020-04-07,2659.409912109375,2756.889892578125,2657.669921875,2738.64990234375,7050410000
67,2020-04-08,2749.97998046875,2760.75,2663.300048828125,2685.0,5875710000
68,2020-04-09,2789.820068359375,2818.570068359375,2762.360107421875,2776.989990234375,7899550000
69,2020-04-13,2761.6298828125,2782.4599609375,2721.169921875,2782.4599609375,5319530000
70,2020-04-14,2846.06005859375,2851.85009765625,2805.10009765625,2805.10009765625,5615730000
71,2020-04-15,2783.360107421875,2801.8798828125,2761.5400390625,2795.639892578125,5208000000
72,2020-04-16,2799.550048828125,2806.510009765625,2764.320068359375,2799.340087890625,5228810000
73,2020-04-17,2874.56005859375,2879.219970703125,2830.8798828125,2842.429931640625,5804810000
74,2020-04-20,2823.159912109375,2868.97998046875,2820.429931640625,2845.6201171875,5228630000
75,2020-04-21,2736.56005859375,2785.5400390625,2727.10009765625,2784.81005859375,5121010000
76,2020-04-22,2799.31005859375,2815.10009765625,2775.949951171875,2787.889892578125,5084920000
77,2020-04-23,2797.800048828125,2844.89990234375,2794.260009765625,2810.419921875,5773530000
78,2020-04-24,2836.739990234375,2842.7099609375,2791.760009765625,2812.639892578125,5382810000
79,2020-04-27,2878.47998046875,2887.719970703125,2852.889892578125,2854.64990234375,5203930000
80,2020-04-28,2863.389892578125,2921.14990234375,2860.7099609375,2909.9599609375,5691160000
81,2020-04-29,2939.510009765625,2954.860107421875,2912.159912109375,2918.4599609375,6645640000
