,entity,code,year,illiteracy_rate,literacy_rate
137,Brazil,BRA,2011,9.0,91.0
138,Brazil,BRA,2012,9.0,91.0
139,Brazil,BRA,2013,9.0,91.0
140,Brazil,BRA,2014,8.0,92.0
141,Brazil,BRA,2015,8.0,92.0
142,Brazil,BRA,2016,7.0,93.0
143,Brazil,BRA,2017,7.0,93.0
144,Brazil,BRA,2018,7.0,93.0
145,Brunei,BRN,1950,72.5,27.5
146,Brunei,BRN,1981,22.0,78.0
147,Brunei,BRN,1991,12.0,88.0
148,Brunei,BRN,2001,7.0,93.0
149,Brunei,BRN,2011,4.0,96.0
150,Bulgaria,BGR,1900,70.4,29.6
151,Bulgaria,BGR,1905,65.5,34.5
152,Bulgaria,BGR,1910,57.8,42.2
153,Bulgaria,BGR,1920,46.7,53.3
154,Bulgaria,BGR,1926,39.7,60.3
155,Bulgaria,BGR,1934,31.4,68.6
156,Bulgaria,BGR,1950,22.5,77.5
157,Bulgaria,BGR,2001,2.0,98.0
158,Bulgaria,BGR,2011,2.0,98.0
159,Burkina Faso,BFA,1975,91.0,9.0
160,Burkina Faso,BFA,1991,86.0,14.0
161,Burkina Faso,BFA,1996,87.0,13.0
162,Burkina Faso,BFA,2003,78.0,22.0
163,Burkina Faso,BFA,2005,76.0,24.0
164,Burkina Faso,BFA,2006,78.0,22.0
165,Burkina Faso,BFA,2007,72.0,28.0
166,Burkina Faso,BFA,2014,65.0,35.0
167,Burkina Faso,BFA,2018,61.0,39.0
168,Burkina Faso,BFA,2019,70.0,30.0
169,Burkina Faso,BFA,2021,63.03262,36.96738
170,Burkina Faso,BFA,2022,59.07639,40.92361
171,Burundi,BDI,1979,77.0,23.0
172,Burundi,BDI,1990,63.0,37.0
173,Burundi,BDI,2000,41.0,59.0
174,Burundi,BDI,2008,52.0,48.0
175,Burundi,BDI,2014,38.0,62.0
176,Burundi,BDI,2016,34.312263,65.68774
177,Burundi,BDI,2017,32.0,68.0
178,Cambodia,KHM,1950,82.5,17.5
179,Cambodia,KHM,1998,33.0,67.0
180,Cambodia,KHM,2004,26.0,74.0
181,Cambodia,KHM,2008,23.0,77.0
182,Cambodia,KHM,2009,24.0,76.0
183,Cambodia,KHM,2014,22.0,78.0
184,Cambodia,KHM,2015,19.0,81.0
185,Cambodia,KHM,2021,28.072746,71.92725
186,Cameroon,CMR,1950,92.5,7.5
187,Cameroon,CMR,1976,59.0,41.0
188,Cameroon,CMR,2000,32.0,68.0
189,Cameroon,CMR,2007,29.0,71.0
190,Cameroon,CMR,2010,29.0,71.0
191,Cameroon,CMR,2018,27.452873,72.54713
192,Canada,CAN,1901,17.1,82.9
193,Canada,CAN,1911,11.0,89.0
194,Canada,CAN,1921,5.7,94.3
195,Canada,CAN,1931,4.3,95.7
196,Canada,CAN,1950,2.5,97.5
197,Cape Verde,CPV,1950,77.5,22.5
198,Cape Verde,CPV,1990,37.0,63.0
199,Cape Verde,CPV,2012,15.0,85.0
200,Cape Verde,CPV,2015,13.0,87.0
201,Cayman Islands,CYM,2007,1.0,99.0
202,Central African Republic,CAF,1950,97.0,3.0
203,Central African Republic,CAF,1975,82.0,18.0
204,Central African Republic,CAF,1988,66.0,34.0
205,Central African Republic,CAF,2000,49.0,51.0
206,Central African Republic,CAF,2019,57.55721,42.44279
207,Central and Southern Asia (SDG),,1975,61.39049,38.60951
208,Central and Southern Asia (SDG),,1976,61.32897,38.67103
209,Central and Southern Asia (SDG),,1977,60.67827,39.32173
210,Central and Southern Asia (SDG),,1978,60.02937,39.97063
211,Central and Southern Asia (SDG),,1979,59.386,40.614
212,Central and Southern Asia (SDG),,1980,58.77141,41.22859
213,Central and Southern Asia (SDG),,1981,58.1839,41.8161
214,Central and Southern Asia (SDG),,1982,57.51993,42.48007
215,Central and Southern Asia (SDG),,1983,56.80048,43.19952
216,Central and Southern Asia (SDG),,1984,56.1473,43.8527
217,Central and Southern Asia (SDG),,1985,55.49173,44.50827
218,Central and Southern Asia (SDG),,1986,54.83435,45.16565
219,Central and Southern Asia (SDG),,1987,54.17479,45.82521
220,Central and Southern Asia (SDG),,1988,53.43394,46.56606
221,Central and Southern Asia (SDG),,1989,52.67548,47.32452
222,Central and Southern Asia (SDG),,1990,51.67884,48.32116
223,Central and Southern Asia (SDG),,1991,50.94008,49.05992
224,Central and Southern Asia (SDG),,1992,49.97537,50.02463
225,Central and Southern Asia (SDG),,1993,49.03544,50.96456
226,Central and Southern Asia (SDG),,1994,48.34252,51.65748
227,Central and Southern Asia (SDG),,1995,47.51132,52.48868
228,Central and Southern Asia (SDG),,1996,46.72254,53.27746
229,Central and Southern Asia (SDG),,1997,45.93668,54.06332
230,Central and Southern Asia (SDG),,1998,41.46195,58.53805
231,Central and Southern Asia (SDG),,1999,40.68157,59.31843
232,Central and Southern Asia (SDG),,2000,39.91697,60.08303
233,Central and Southern Asia (SDG),,2001,39.15662,60.84338
234,Central and Southern Asia (SDG),,2002,38.37295,61.62705
235,Central and Southern Asia (SDG),,2003,37.48693,62.51307
236,Central and Southern Asia (SDG),,2004,36.71899,63.28101
237,Central and Southern Asia (SDG),,2005,36.85484,63.14516
238,Central and Southern Asia (SDG),,2006,36.71201,63.28799
239,Central and Southern Asia (SDG),,2007,35.90345,64.09655
240,Central and Southern Asia (SDG),,2008,34.842873,65.15713
241,Central and Southern Asia (SDG),,2009,34.017853,65.98215
242,Central and Southern Asia (SDG),,2010,31.647186,68.35281
243,Central and Southern Asia (SDG),,2011,31.269592,68.73041
244,Central and Southern Asia (SDG),,2012,31.218872,68.78113
245,Central and Southern Asia (SDG),,2013,30.27993,69.72007
246,Central and Southern Asia (SDG),,2014,29.598183,70.40182
247,Central and Southern Asia (SDG),,2015,28.368553,71.63145
248,Central and Southern Asia (SDG),,2016,27.148666,72.85133
249,Central and Southern Asia (SDG),,2017,26.62413,73.37587
250,Central and Southern Asia (SDG),,2018,26.134789,73.86521
251,Central and Southern Asia (SDG),,2019,26.335068,73.66493
252,Central and Southern Asia (SDG),,2020,25.667587,74.33241
253,Central and Southern Asia (SDG),,2021,24.928017,75.07198
254,Central and Southern Asia (SDG),,2022,24.187248,75.81275
255,Central and Southern Asia (SDG),,2023,23.485687,76.51431
256,Chad,TCD,1993,89.0,11.0
257,Chad,TCD,2000,74.0,26.0
258,Chad,TCD,2004,72.0,28.0
259,Chad,TCD,2016,78.0,22.0
260,Chad,TCD,2019,69.37208,30.62792
261,Channel Islands,OWID_CIS,1950,1.5,98.5
262,Chile,CHL,1907,49.9,50.1
263,Chile,CHL,1920,36.9,63.1
264,Chile,CHL,1930,24.4,75.6
265,Chile,CHL,1940,26.4,73.6
266,Chile,CHL,1950,22.5,77.5
267,Chile,CHL,1982,9.0,91.0
268,Chile,CHL,1992,6.0,94.0
269,Chile,CHL,2002,4.0,96.0
270,Chile,CHL,2011,3.0,97.0
271,Chile,CHL,2013,4.0,96.0
272,Chile,CHL,2015,3.0,97.0
273,Chile,CHL,2017,4.0,96.0
274,China,CHN,1950,52.5,47.5
275,China,CHN,1982,34.0,66.0
276,China,CHN,1990,22.0,78.0
277,China,CHN,2000,9.0,91.0
278,China,CHN,2010,5.0,95.0
279,China,CHN,2020,3.0,97.0
280,Cocos Islands,CCK,1950,82.5,17.5
281,Colombia,COL,1918,57.6,42.4
282,Colombia,COL,1928,48.4,51.6
283,Colombia,COL,1938,44.2,55.8
284,Colombia,COL,1950,47.5,52.5
285,Colombia,COL,1993,9.0,91.0
286,Colombia,COL,1996,9.0,91.0
287,Colombia,COL,2004,7.0,93.0
288,Colombia,COL,2005,7.0,93.0
289,Colombia,COL,2006,8.0,92.0
290,Colombia,COL,2007,7.0,93.0
291,Colombia,COL,2008,7.0,93.0
292,Colombia,COL,2009,7.0,93.0
293,Colombia,COL,2010,7.0,93.0
294,Colombia,COL,2011,6.0,94.0
295,Colombia,COL,2014,6.0,94.0
296,Colombia,COL,2015,6.0,94.0
297,Colombia,COL,2016,5.0,95.0
298,Colombia,COL,2018,5.0,95.0
299,Colombia,COL,2019,5.0,95.0
300,Colombia,COL,2020,4.0,96.0
301,Comoros,COM,1950,77.5,22.5
302,Comoros,COM,1980,52.0,48.0
303,Comoros,COM,2000,32.0,68.0
304,Congo,COG,1984,40.0,60.0
305,Congo,COG,2005,24.0,76.0
306,Cook Islands,COK,1950,7.5,92.5
307,Costa Rica,CRI,1950,22.5,77.5
308,Costa Rica,CRI,1984,7.0,93.0
309,Costa Rica,CRI,2000,5.0,95.0
310,Costa Rica,CRI,2011,3.0,97.0
311,Cote d'Ivoire,CIV,1988,66.0,34.0
312,Cote d'Ivoire,CIV,1998,64.0,36.0
313,Cote d'Ivoire,CIV,2000,51.0,49.0
314,Cote d'Ivoire,CIV,2014,56.0,44.0
315,Cote d'Ivoire,CIV,2016,49.96032,50.03968
316,Cote d'Ivoire,CIV,2021,49.99936,50.00064
317,Croatia,HRV,1991,3.0,97.0
318,Croatia,HRV,2001,2.0,98.0
319,Cuba,CUB,1899,56.9,43.1
320,Cuba,CUB,1907,43.6,56.4
321,Cuba,CUB,1919,38.7,61.3
322,Cuba,CUB,1931,28.2,71.8
323,Cuba,CUB,1943,23.6,76.4
324,Cuba,CUB,1950,22.5,77.5
325,Cuba,CUB,1981,2.0,98.0
326,Cuba,CUB,2002,0.0,100.0
327,Cuba,CUB,2012,0.0,100.0
328,Cuba,CUB,2019,2.3450928,97.65491
329,Cyprus,CYP,1950,37.5,62.5
330,Cyprus,CYP,1992,6.0,94.0
331,Cyprus,CYP,2001,3.0,97.0
332,Cyprus,CYP,2011,1.0,99.0
333,Czechoslovakia,OWID_CZS,1950,2.5,97.5
334,Democratic Republic of Congo,COD,1950,62.5,37.5
335,Democratic Republic of Congo,COD,2001,33.0,67.0
336,Democratic Republic of Congo,COD,2012,25.0,75.0
337,Democratic Republic of Congo,COD,2016,23.0,77.0
338,Democratic Republic of Congo,COD,2018,26.446968,73.55303
339,Denmark,DNK,1950,1.5,98.5
340,Djibouti,DJI,1950,97.0,3.0
341,Dominican Republic,DOM,1950,57.5,42.5
342,Dominican Republic,DOM,1981,27.0,73.0
