,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag,literacy_gender_gap_abs,gender_gap_pct,youth_literacy_avg,regional_literacy_std,youth_literacy_yoy,youth_literacy_abs_change,youth_literacy_5yr_avg,literacy_momentum_5yr,literacy_5yr_std,literacy_stability_index,gender_gap_change,gender_gap_acceleration,regional_convergence_index,avg_schooling_years,adult_literacy_rate_norm,youth_literacy_avg_norm,avg_schooling_years_norm,literacy_index,education_development_index,log_gdp,log_gdp_norm,education_spend_efficiency
0,Afghanistan,AFG,2011,31.0,62.0,32.0,Asia,False,True,True,True,30.0,48.38709677419355,47.0,15.046752608536497,,,,,,,,,-4.969537007751432,4.106,0.19767441860465113,0.3375,0.25507487520798666,0.2536046511627907,0.2540457183763495,7.9219174532799235,0.2717648530190635,-0.01771913464271402
1,Afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia,False,True,True,True,32.25089,55.86015773780398,41.609605,14.481006048976539,-11.468925531914886,-5.390394999999998,,,,,2.2508899999999983,,-7.111442786216421,4.81,0.22969581395348831,0.2701200625000001,0.3136439267886856,0.24586551337209303,0.2661990373970708,7.995539859013733,0.28506291925483995,-0.01886388185776916
2,Afghanistan,AFG,2021,37.0,71.0,42.0,Asia,False,False,True,True,29.0,40.845070422535215,56.5,14.784634232456426,35.78595615122997,14.890394999999998,,,,,-3.2508899999999983,-5.501779999999997,-12.997739374153126,5.69,0.26744186046511625,0.45625000000000004,0.38685524126455917,0.3429651162790698,0.3561321537747166,7.6705061777575105,0.22635362581187168,0.1297785279628449
3,Afghanistan,AFG,2022,37.0,83.4,44.17171,Asia,False,False,False,True,39.22829000000001,47.03631894484413,63.785855,8.24745411609174,12.895318584070804,7.285854999999998,,,,,10.228290000000008,13.479180000000007,6.537180116364686,5.69,0.26744186046511625,0.5473231875,0.38685524126455917,0.37939439127906976,0.38163264627471655,7.591715488255849,0.21212203697268173,0.16951060930203482
4,Albania,ALB,2001,99.0,99.0,99.0,Europe,False,False,False,False,0.0,0.0,99.0,0.7559289460184528,,,,,,,,,-0.5059289460184528,9.992,0.9883720930232558,0.9875,0.744758735440932,0.9880232558139534,0.915043899702047,8.836692542955884,0.4369963421574694,0.4780475575445776
5,Albania,ALB,2005,97.5,99.0,99.49,Europe,False,False,False,False,-0.4899999999999949,-0.4949494949494898,99.245,0.681036791305073,0.24747474747475184,0.24500000000000455,,,,,-0.4899999999999949,,,10.24,0.9709302325581395,0.9905625000000002,0.7653910149750417,0.9787831395348838,0.9147655021669311,9.05129200135119,0.47575842529586376,0.4390070768710673
6,Albania,ALB,2008,96.0,99.0,99.0,Europe,False,False,False,False,0.0,0.0,99.0,0.7071067811865476,-0.24686382185501454,-0.24500000000000455,,,,,0.4899999999999949,0.9799999999999898,,10.36,0.9534883720930232,0.9875,0.7753743760399334,0.9670930232558139,0.9095774290910498,9.261044988126695,0.5136451132340125,0.39593231585703725
7,Albania,ALB,2009,96.5,94.82,96.61,Europe,False,False,False,False,-1.7900000000000063,-1.8877873866273005,95.715,2.0726125823864563,-3.31818181818182,-3.2849999999999966,,,,,-1.7900000000000063,-2.280000000000001,-1.3655058011999088,10.4,0.9593023255813953,0.9464375,0.7787021630615641,0.9541563953488372,0.9015201256626553,9.294335872445265,0.5196582878960381,0.3818618377666172
8,Albania,ALB,2011,97.0,99.0,99.0,Europe,False,False,False,False,0.0,0.0,99.0,0.6632056681315054,3.4320639398213393,3.2849999999999966,98.39200000000001,,,,1.7900000000000063,3.5800000000000125,-0.6632056681315054,10.35,0.9651162790697674,0.9875,0.7745424292845258,0.9740697674418605,0.91421156599466,9.355625381921394,0.5307287215289549,0.38348284446570513
9,Albania,ALB,2012,97.0,99.0,99.0,Europe,False,False,False,False,0.0,0.0,99.0,0.4881256668796125,0.0,0.0,98.39200000000001,0.0,,,0.0,-1.7900000000000063,0.17508000125189288,10.26,0.9651162790697674,0.9875,0.767054908485857,0.9740697674418605,0.9119653097550594,9.380849941108778,0.53528491411053,0.3766803956445294
