,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag,illiteracy_rate_norm,illiteracy_burden_index
107,Bhutan,BTN,2017,33.0,67.0,False,False,False,0.3707865168539326,0.3707865168539326
110,Bolivia,BOL,1992,20.0,80.0,False,False,False,0.2247191011235955,0.2247191011235955
111,Bolivia,BOL,2001,13.0,87.0,False,False,False,0.14606741573033707,0.14606741573033707
112,Bolivia,BOL,2007,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
113,Bolivia,BOL,2008,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
114,Bolivia,BOL,2009,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
115,Bolivia,BOL,2011,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
116,Bolivia,BOL,2012,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
117,Bolivia,BOL,2015,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
118,Bolivia,BOL,2020,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
119,Bosnia and Herzegovina,BIH,1991,11.0,89.0,False,False,False,0.12359550561797752,0.12359550561797752
120,Bosnia and Herzegovina,BIH,2000,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
121,Bosnia and Herzegovina,BIH,2013,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
123,Botswana,BWA,1991,31.0,69.0,False,False,False,0.348314606741573,0.348314606741573
124,Botswana,BWA,2003,19.0,81.0,False,False,False,0.21348314606741572,0.21348314606741572
130,Brazil,BRA,2000,14.0,86.0,False,False,False,0.15730337078651685,0.15730337078651685
131,Brazil,BRA,2004,11.0,89.0,False,False,False,0.12359550561797752,0.12359550561797752
132,Brazil,BRA,2006,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
133,Brazil,BRA,2007,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
134,Brazil,BRA,2008,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
135,Brazil,BRA,2009,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
136,Brazil,BRA,2010,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
137,Brazil,BRA,2011,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
138,Brazil,BRA,2012,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
139,Brazil,BRA,2013,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
140,Brazil,BRA,2014,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
141,Brazil,BRA,2015,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
142,Brazil,BRA,2016,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
143,Brazil,BRA,2017,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
144,Brazil,BRA,2018,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
147,Brunei,BRN,1991,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
148,Brunei,BRN,2001,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
149,Brunei,BRN,2011,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
157,Bulgaria,BGR,2001,2.0,98.0,False,False,False,0.02247191011235955,0.02247191011235955
158,Bulgaria,BGR,2011,2.0,98.0,False,False,False,0.02247191011235955,0.02247191011235955
160,Burkina Faso,BFA,1991,86.0,14.0,False,True,True,0.9662921348314606,0.9662921348314606
161,Burkina Faso,BFA,1996,87.0,13.0,False,True,True,0.9775280898876404,0.9775280898876404
162,Burkina Faso,BFA,2003,78.0,22.0,False,True,True,0.8764044943820224,0.8764044943820224
163,Burkina Faso,BFA,2005,76.0,24.0,False,True,True,0.8539325842696629,0.8539325842696629
164,Burkina Faso,BFA,2006,78.0,22.0,False,True,True,0.8764044943820224,0.8764044943820224
165,Burkina Faso,BFA,2007,72.0,28.0,False,True,True,0.8089887640449438,0.8089887640449438
166,Burkina Faso,BFA,2014,65.0,35.0,False,True,True,0.7303370786516854,0.7303370786516854
167,Burkina Faso,BFA,2018,61.0,39.0,False,False,False,0.6853932584269663,0.6853932584269663
168,Burkina Faso,BFA,2019,70.0,30.0,False,True,True,0.7865168539325842,0.7865168539325842
169,Burkina Faso,BFA,2021,63.03262,36.96738,False,True,True,0.7082316853932584,0.7082316853932584
170,Burkina Faso,BFA,2022,59.07639,40.92361,False,False,False,0.6637796629213484,0.6637796629213484
172,Burundi,BDI,1990,63.0,37.0,False,True,True,0.7078651685393258,0.7078651685393258
173,Burundi,BDI,2000,41.0,59.0,False,False,False,0.4606741573033708,0.4606741573033708
174,Burundi,BDI,2008,52.0,48.0,False,False,False,0.5842696629213483,0.5842696629213483
175,Burundi,BDI,2014,38.0,62.0,False,False,False,0.42696629213483145,0.42696629213483145
176,Burundi,BDI,2016,34.312263,65.68774,False,False,False,0.38553104494382023,0.38553104494382023
177,Burundi,BDI,2017,32.0,68.0,False,False,False,0.3595505617977528,0.3595505617977528
179,Cambodia,KHM,1998,33.0,67.0,False,False,False,0.3707865168539326,0.3707865168539326
180,Cambodia,KHM,2004,26.0,74.0,False,False,False,0.29213483146067415,0.29213483146067415
181,Cambodia,KHM,2008,23.0,77.0,False,False,False,0.2584269662921348,0.2584269662921348
182,Cambodia,KHM,2009,24.0,76.0,False,False,False,0.2696629213483146,0.2696629213483146
183,Cambodia,KHM,2014,22.0,78.0,False,False,False,0.24719101123595505,0.24719101123595505
184,Cambodia,KHM,2015,19.0,81.0,False,False,False,0.21348314606741572,0.21348314606741572
185,Cambodia,KHM,2021,28.072746,71.92725,False,False,False,0.31542411235955053,0.31542411235955053
188,Cameroon,CMR,2000,32.0,68.0,False,False,False,0.3595505617977528,0.3595505617977528
189,Cameroon,CMR,2007,29.0,71.0,False,False,False,0.3258426966292135,0.3258426966292135
190,Cameroon,CMR,2010,29.0,71.0,False,False,False,0.3258426966292135,0.3258426966292135
191,Cameroon,CMR,2018,27.452873,72.54713,False,False,False,0.30845924719101125,0.30845924719101125
198,Cape Verde,CPV,1990,37.0,63.0,False,False,False,0.4157303370786517,0.4157303370786517
199,Cape Verde,CPV,2012,15.0,85.0,False,False,False,0.16853932584269662,0.16853932584269662
200,Cape Verde,CPV,2015,13.0,87.0,False,False,False,0.14606741573033707,0.14606741573033707
201,Cayman Islands,CYM,2007,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
205,Central African Republic,CAF,2000,49.0,51.0,False,False,False,0.550561797752809,0.550561797752809
206,Central African Republic,CAF,2019,57.55721,42.44279,False,False,False,0.6467102247191011,0.6467102247191011
256,Chad,TCD,1993,89.0,11.0,False,True,True,1.0,1.0
257,Chad,TCD,2000,74.0,26.0,False,True,True,0.8314606741573034,0.8314606741573034
258,Chad,TCD,2004,72.0,28.0,False,True,True,0.8089887640449438,0.8089887640449438
259,Chad,TCD,2016,78.0,22.0,False,True,True,0.8764044943820224,0.8764044943820224
260,Chad,TCD,2019,69.37208,30.62792,False,True,True,0.7794615730337078,0.7794615730337078
268,Chile,CHL,1992,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
269,Chile,CHL,2002,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
270,Chile,CHL,2011,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
271,Chile,CHL,2013,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
272,Chile,CHL,2015,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
273,Chile,CHL,2017,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
276,China,CHN,1990,22.0,78.0,False,False,False,0.24719101123595505,0.24719101123595505
277,China,CHN,2000,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
278,China,CHN,2010,5.0,95.0,False,False,False,0.056179775280898875,0.056179775280898875
279,China,CHN,2020,3.0,97.0,False,False,False,0.033707865168539325,0.033707865168539325
285,Colombia,COL,1993,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
286,Colombia,COL,1996,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
287,Colombia,COL,2004,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
288,Colombia,COL,2005,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
289,Colombia,COL,2006,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
290,Colombia,COL,2007,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
291,Colombia,COL,2008,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
292,Colombia,COL,2009,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
293,Colombia,COL,2010,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
294,Colombia,COL,2011,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
295,Colombia,COL,2014,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
296,Colombia,COL,2015,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
297,Colombia,COL,2016,5.0,95.0,False,False,False,0.056179775280898875,0.056179775280898875
298,Colombia,COL,2018,5.0,95.0,False,False,False,0.056179775280898875,0.056179775280898875
