country,year,education_development_index,education_spend_efficiency,illiteracy_burden_index,gender_gap_pct,log_gdp_norm,regional_convergence_index,education_development_index_norm,education_spend_efficiency_norm,illiteracy_burden_index_norm,gender_gap_pct_norm,log_gdp_norm_norm,regional_convergence_index_norm
Afghanistan,2011,0.2540457183763495,-0.01771913464271402,0.7752808988764045,48.38709677419355,0.2717648530190635,-4.969537007751432,0.2484441142869784,0.1497969336731019,0.8023255813953489,0.9117160743434012,0.22017536563925277,0.3823259331057148
Afghanistan,2015,0.2661990373970708,-0.01886388185776916,0.7443388202247191,55.86015773780398,0.28506291925483995,-7.111442786216421,0.26085115275551346,0.14857368443343216,0.7703041279069768,1.0,0.23441549080076307,0.33058341294626437
Afghanistan,2021,0.3561321537747166,0.1297785279628449,0.7078651685393258,40.845070422535215,0.22635362581187168,-12.997739374153126,0.35266176289339085,0.30740937532173707,0.7325581395348837,0.82261741758519,0.17154712543479006,0.18838676595645493
Albania,2001,0.915043899702047,0.4780475575445776,0.011235955056179775,0.0,0.4369963421574694,-0.5059289460184528,0.9232416613074237,0.6795612530756894,0.011627906976744186,0.3400891499609014,0.3971121506000207,0.49015435975276456
Albania,2011,0.91421156599466,0.38348284446570513,0.033707865168539325,0.0,0.5307287215289549,-0.6632056681315054,0.9223919513385994,0.5785116834833778,0.03488372093023256,0.3400891499609014,0.4974847002828569,0.4863549890958634
Albania,2012,0.9119653097550594,0.3766803956445294,0.033707865168539325,0.0,0.53528491411053,0.17508000125189288,0.9200988010043248,0.5712427508850182,0.03488372093023256,0.3400891499609014,0.5023636617402019,0.5066056525860818
Algeria,2002,0.6474733970514259,0.1068750995670169,0.33707865168539325,8.51063829787234,0.540598297484409,10.470121223079797,0.6500852080150049,0.28293532462952575,0.3488372093023256,0.44063062318562474,0.5080534547472154,0.755305377531294
Algeria,2006,0.6757605831366327,0.11152471845646339,0.3033707865168539,5.319148936170213,0.5642358646801693,-3.354363757485949,0.6789629331308672,0.28790379513241804,0.313953488372093,0.4029275707263535,0.5333655497099897,0.42134405206459824
Algeria,2008,0.6999685408040862,0.13205830243844685,0.2808988764044944,4.166666666666666,0.5679102383656394,1.300127094817583,0.7036762695875728,0.3098454872923299,0.29069767441860467,0.3893125795605055,0.537300222634876,0.5337836790447771
Argentina,2001,0.884960318074527,0.24589038824482523,0.033707865168539325,0.0,0.6390699298297018,0.40643129995349736,0.892530038096713,0.4314837062645136,0.03488372093023256,0.3400891499609014,0.6135009946070076,0.5121944601598499
Armenia,2001,0.929974848121348,0.5491014314422865,0.011235955056179775,0.0,0.3808734166790615,-5.256719930237242,0.9384843165108404,0.7554877074735508,0.011627906976744186,0.3400891499609014,0.3370133761562206,0.37538838790388007
Armenia,2011,0.9348585690515806,0.4133179346703485,0.0,0.0,0.5215406343812321,-4.969537007751432,0.943469992715643,0.6103927406533229,0.0,0.3400891499609014,0.48764571251887406,0.3823259331057148
Armenia,2016,0.9353078202995008,0.38076983042985446,0.0,0.0,0.5545379898696463,10.178629626571364,0.943928622782498,0.5756126221771594,0.0,0.3400891499609014,0.5229806600084351,0.7482637466807265
Armenia,2017,0.9357570715474209,0.36737577047406733,0.0,0.0,0.5683813010733536,-1.8047480006088144,0.9443872528493529,0.5613000530426553,0.0,0.3400891499609014,0.5378046562719053,0.45877848328270693
Armenia,2020,0.9371048252911813,0.35874468923406644,0.0,0.0,0.5783601360571149,4.728605962904746,0.9457631430499177,0.5520770879849499,0.0,0.3400891499609014,0.5484904098706144,0.6166062470269147
Armenia,2022,0.9354893966283907,0.32597949860648845,0.001966326404494382,-0.2687942473113901,0.6095098980219023,6.537180116364686,0.9441139897998265,0.5170649962360403,0.0020349191860465116,0.3369137160306668,0.5818468769888521,0.6602963969560711
Bahrain,1991,0.7805784351661958,-0.005895260130387103,0.1797752808988764,0.0,0.786473695296583,-20.79609750098983,0.7859690209413412,0.16243164054719358,0.18604651162790697,0.3400891499609014,0.771347107892195,0.0
Bahrain,2001,0.7952295979568935,-0.02451645464387453,0.14606741573033707,0.0,0.819746052600768,-5.256719930237242,0.8009260495557491,0.14253348160800028,0.15116279069767444,0.3400891499609014,0.8069765388206852,0.37538838790388007
Bahrain,2022,0.8656843052277212,0.04501888900088935,0.02247191011235955,0.0,0.8206654162268319,6.537180116364686,0.8728516084839848,0.21683727123507124,0.023255813953488372,0.3400891499609014,0.8079610318192888,0.6602963969560711
