,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag,literacy_gender_gap_abs,gender_gap_pct,youth_literacy_avg,regional_literacy_std,youth_literacy_yoy,youth_literacy_abs_change,youth_literacy_5yr_avg,literacy_momentum_5yr,literacy_5yr_std,literacy_stability_index,gender_gap_change,gender_gap_acceleration,regional_convergence_index,avg_schooling_years,adult_literacy_rate_norm,youth_literacy_avg_norm,avg_schooling_years_norm,literacy_index,education_development_index
212,Dominican Republic,DOM,2006,87.8,95.3,97.9,North America,False,False,False,False,-2.6000000000000085,-2.72822665267577,96.6,4.1076373794300265,-0.15503875968992942,-0.15000000000000568,96.05,0.22999999999998977,,,-1.5000000000000142,-1.90000000000002,-1.3649379792040404,7.656,0.8581395348837209,0.9575,0.5504159733777039,0.8978837209302325,0.7936433966644738
213,Dominican Republic,DOM,2007,88.0,97.2,97.8,North America,False,False,False,False,-0.5999999999999943,-0.6172839506172781,97.5,2.0186629238186335,0.9316770186335477,0.9000000000000057,96.52000000000001,0.4700000000000131,,,2.000000000000014,3.5000000000000284,2.088974455611393,7.771999999999999,0.8604651162790697,0.96875,0.5600665557404326,0.9037790697674419,0.8006653155593392
214,Dominican Republic,DOM,2008,88.66666666666667,95.6,97.4,North America,False,False,False,False,-1.8000000000000114,-1.8828451882845307,96.5,1.3919410907075054,-1.025641025641022,-1.0,96.66,0.13999999999998636,0.5016173840687802,0.6659486035586518,-1.200000000000017,-3.2000000000000313,0.6267218331111282,7.888,0.8682170542635659,0.95625,0.5697171381031614,0.9034302325581396,0.8033163042216461
215,Dominican Republic,DOM,2009,89.33333333333333,96.2,98.4,North America,False,False,False,False,-2.200000000000003,-2.28690228690229,97.30000000000001,2.0976176963403064,0.829015544041467,0.8000000000000114,96.93,0.27000000000001023,0.4532438637201905,0.6881157560439156,-0.3999999999999915,0.8000000000000256,-0.705676605632801,8.004,0.8759689922480618,0.9662500000000003,0.5793677204658901,0.9120813953488371,0.812267292883953
216,Dominican Republic,DOM,2010,90.0,96.2,97.9,North America,False,False,False,False,-1.7000000000000028,-1.76715176715177,97.05000000000001,1.478738200854588,-0.2569373072970227,-0.25,96.99000000000001,0.060000000000002274,0.3771604433129395,0.7261318061055901,0.5,0.8999999999999915,0.6188794954857184,8.12,0.8837209302325582,0.9631250000000002,0.589018302828619,0.9154825581395349,0.8175432815462601
217,Dominican Republic,DOM,2011,90.0,96.5,98.6,North America,False,False,False,False,-2.0999999999999943,-2.1761658031088023,97.55,2.110557537534676,0.5151983513652647,0.4999999999999858,97.17999999999999,0.18999999999998352,0.2644428104524948,0.7908621819298723,-0.3999999999999915,-0.8999999999999915,-0.6318193366800879,8.192,0.8837209302325582,0.9693750000000001,0.5950083194675542,0.9179825581395349,0.8210902865379406
218,Dominican Republic,DOM,2012,90.0,96.7,98.0,North America,False,False,False,False,-1.2999999999999972,-1.344364012409511,97.35,4.872752839832455,-0.2050230650948226,-0.20000000000000284,97.15,-0.029999999999986926,0.20849460424677052,0.8274757673604005,0.7999999999999972,1.1999999999999886,-2.7621953022977794,8.264,0.8837209302325582,0.9668749999999999,0.6009983361064892,0.9169825581395348,0.8221872915296211
219,Dominican Republic,DOM,2013,91.0,97.6,98.3,North America,False,False,False,False,-0.7000000000000028,-0.7172131147541013,97.94999999999999,2.77218325512582,0.6163328197226425,0.5999999999999943,97.44,0.28999999999999204,0.19892209530370436,0.8340825512492416,0.5999999999999943,-0.20000000000000284,2.1005695847066352,8.336,0.8953488372093021,0.974375,0.6069883527454244,0.9269593023255813,0.8309680174515343
220,Dominican Republic,DOM,2014,92.0,98.0,98.2,North America,False,False,False,False,-0.20000000000000284,-0.20408163265306412,98.1,1.9308892597280998,0.15313935681471325,0.15000000000000568,97.6,0.1599999999999966,0.24427443582990144,0.8036812227304372,0.5,-0.09999999999999432,0.8412939953977203,8.408,0.9069767441860463,0.9762500000000001,0.6129783693843595,0.9346860465116279,0.8381737433734473
221,Dominican Republic,DOM,2015,92.0,98.1,98.1,North America,False,False,False,False,0.0,0.0,98.1,1.3768541181271043,0.0,0.0,97.80999999999999,0.20999999999999375,0.28023204670418994,0.7811083956024886,0.20000000000000284,-0.29999999999999716,0.5540351416009954,8.48,0.9069767441860463,0.9762500000000001,0.6189683860232946,0.9346860465116279,0.8399707483651279
222,Dominican Republic,DOM,2016,94.0,98.1,98.8,North America,False,False,False,False,-0.7000000000000028,-0.7135575942915422,98.44999999999999,1.1093917252260272,0.35677879714577365,0.3499999999999943,97.99,0.18000000000000682,0.325683895825412,0.7543276365874302,-0.7000000000000028,-0.9000000000000057,0.2674623929010771,8.592,0.9302325581395348,0.9806249999999999,0.6282861896838603,0.9503895348837208,0.8537585313237626
223,Dominican Republic,DOM,2017,94.0,97.8,98.4,North America,False,False,False,False,-0.6000000000000085,-0.6134969325153462,98.1,4.32092004880953,-0.3555104113763252,-0.3499999999999943,98.13999999999999,0.14999999999999147,0.2834254752135362,0.7791648360678052,0.09999999999999432,0.7999999999999972,-3.2115283235835026,8.704,0.9302325581395348,0.9762500000000001,0.6376039933444261,0.9486395348837209,0.8553288724219323
224,Dominican Republic,DOM,2018,94.0,98.0,99.1,North America,False,False,False,False,-1.0999999999999943,-1.1224489795918309,98.55,4.213411004664572,0.4587155963302836,0.45000000000000284,98.25999999999999,0.12000000000000455,0.2623928352680762,0.7921464476528373,-0.4999999999999858,-0.5999999999999801,0.10750904414495821,8.815999999999999,0.9302325581395348,0.981875,0.6469217970049916,0.9508895348837209,0.859699213520102
225,Dominican Republic,DOM,2019,94.0,98.3,99.1,North America,False,False,False,False,-0.7999999999999972,-0.8138351983723268,98.69999999999999,1.353088377691939,0.15220700152205335,0.14999999999999147,98.37999999999998,0.11999999999999034,0.2238972978845815,0.8170620212402039,0.29999999999999716,0.799999999999983,2.860322626972633,8.927999999999999,0.9302325581395348,0.9837499999999999,0.6562396006655574,0.9516395348837208,0.8630195546182717
226,Dominican Republic,DOM,2020,94.0,98.6,99.1,North America,False,False,False,False,-0.5,-0.5070993914807302,98.85,0.23629078131262363,0.1519756838905817,0.15000000000000568,98.53,0.1500000000000199,0.2089258241578015,0.8271806094444629,0.29999999999999716,0.0,1.1167975963793153,9.04,0.9302325581395348,0.985625,0.6655574043261231,0.9523895348837208,0.8663398957164414
227,Dominican Republic,DOM,2021,94.0,98.7,99.0,North America,False,False,False,False,-0.29999999999999716,-0.3039513677811521,98.85,0.6110100926607819,0.0,0.0,98.60999999999999,0.07999999999998408,0.19191143790826376,0.8389885088735641,0.20000000000000284,-0.09999999999999432,-0.3747193113481583,9.04,0.9302325581395348,0.985625,0.6655574043261231,0.9523895348837208,0.8663398957164414
228,Dominican Republic,DOM,2022,94.0,98.1,98.9,North America,False,False,False,False,-0.8000000000000114,-0.8154943934760566,98.5,2.392900943370232,-0.35407182599898057,-0.3499999999999943,98.68999999999998,0.0799999999999983,0.17386776584524338,0.8518847089049677,-0.5000000000000142,-0.700000000000017,-1.7818908507094502,9.04,0.9302325581395348,0.9812500000000002,0.6655574043261231,0.9506395348837209,0.8651148957164414
229,Dominican Republic,DOM,2023,94.0,98.3,98.8,North America,False,False,False,False,-0.5,-0.508646998982706,98.55,1.344432965974873,0.050761421319789335,0.04999999999999716,98.69,1.4210854715202004e-14,0.13000000000007042,0.8849557522123341,0.30000000000001137,0.8000000000000256,1.0484679773953591,9.04,0.9302325581395348,0.981875,0.6655574043261231,0.9508895348837209,0.8652898957164414
230,Ecuador,ECU,1990,88.0,97.0,96.0,South America,False,False,False,False,1.0,1.0309278350515463,96.5,0.7071067811865476,,,,,,,,,,7.23,0.8604651162790697,0.95625,0.5149750415973379,0.8987790697674419,0.7836378613164107
231,Ecuador,ECU,2001,91.0,97.6,97.3,South America,False,False,False,False,0.29999999999999716,0.30737704918032493,97.44999999999999,1.1456439237389586,0.984455958549213,0.9499999999999886,,,,,-0.7000000000000028,,0.40643129995349736,7.468,0.8953488372093021,0.9681249999999999,0.53477537437604,0.9244593023255813,0.8075541239407189
232,Ecuador,ECU,2003,91.25,96.5,97.4,South America,False,False,False,False,-0.9000000000000057,-0.9326424870466379,96.95,0.8174688722776287,-0.5130836326321053,-0.4999999999999858,,,,,-1.2000000000000028,-0.5,0.06665027504736154,7.584,0.8982558139534882,0.961875,0.5444259567387687,0.9237034883720929,0.8099202288820957
